======================================================================
EJEMPLO: 10 usuarios aleatorios — recomendaciones híbridas (γ=0.2)
======================================================================

Usuario 1946947 | Cluster: Greens | Diversidad: 0.80 | Novedad: 0.00
   1. Yes, Virginia There is a Great Meatloaf       | Meatloaf                  | [2 sello(s)]
   2. Jo Mama's World Famous Spaghetti              | Spaghetti                 | [1 sello(s)]
   3. &quot;Whatever Floats Your Boat&quot; Brownie | Bar Cookie                | [3 sello(s)]
   4. Kittencal's Italian Melt-In-Your-Mouth Meatba | Meat                      | [saludable]
   5. Pancakes                                      | Breakfast                 | [2 sello(s)]
   6. To Die for Crock Pot Roast                    | One Dish Meal             | [saludable]
   7. Bourbon Chicken                               | Chicken Breast            | [1 sello(s)]
   8. Oatmeal Raisin Cookies                        | Drop Cookies              | [3 sello(s)]
   9. Creamy Cajun Chicken Pasta                    | Chicken Breast            | [1 sello(s)]
  10. Crock-Pot Chicken With Black Beans &amp; Crea | One Dish Meal             | [saludable]

Usuario 713743 | Cluster: Dessert | Diversidad: 0.40 | Novedad: 0.00
   1. Dagmar's Orange Cake                          | Dessert                   | [3 sello(s)]
   2. Crock-Pot Chicken With Black Beans &amp; Crea | One Dish Meal             | [saludable]
   3. Classic Chicago Public School Cafeteria Cooki | Dessert                   | [2 sello(s)]
   4. To Die for Crock Pot Roast                    | One Dish Meal             | [saludable]
   5. Greek Yogurt Frosting                         | Dessert                   | [2 sello(s)]
   6. Kittencal's Italian Melt-In-Your-Mouth Meatba | Meat                      | [saludable]
   7. Chocolate Tube Cake                           | Dessert                   | [2 sello(s)]
   8. Creamy Cajun Chicken Pasta                    | Chicken Breast            | [1 sello(s)]
   9. Bourbon Chicken                               | Chicken Breast            | [1 sello(s)]
  10. Amazing Lemon Cheesecake Bars                 | Dessert                   | [2 sello(s)]

Usuario 786683 | Cluster: Salad Dressings | Diversidad: 0.40 | Novedad: 0.00
   1. Creamy Vinaigrette                            | Salad Dressings           | [1 sello(s)]
   2. Buttermilk Dressing                           | Salad Dressings           | [1 sello(s)]
   3. Ginger-Marinated Tuna Steaks                  | Tuna                      | [saludable]
   4. Lemon Garlic Dressing -Mediterranean          | Salad Dressings           | [3 sello(s)]
   5. Russian Salad Dressing                        | Salad Dressings           | [4 sello(s)]
   6. Linda's Asian Salmon                          | Asian                     | [saludable]
   7. Golden Five-Spice  Sticky Chicken             | Chicken Thigh & Leg       | [saludable]
   8. Poppy Seed Dressing                           | Salad Dressings           | [3 sello(s)]
   9. Curried Mayonnaise                            | Salad Dressings           | [3 sello(s)]
  10. Caprese Salad With Walnut Pesto               | Salad Dressings           | [1 sello(s)]

Usuario 301111 | Cluster: Vegetable | Diversidad: 0.40 | Novedad: 0.00
   1. Nif's Lightened Artichoke Dip                 | Vegetable                 | [1 sello(s)]
   2. Cucumber and Fennel With Orange Mint Dressing | Vegetable                 | [2 sello(s)]
   3. Korean Hot Pot (Sin-Su-Lo)                    | Vegetable                 | [1 sello(s)]
   4. Sylvia's Sweet Potato Casserole               | Vegetable                 | [1 sello(s)]
   5. Drunken Grilled Asparagus                     | Vegetable                 | [1 sello(s)]
